Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Function: ~peek internal/linkedlist.js:9:14
      2    0.0%    0.0%  Function: ~my.guns.forEach.gun /home/ubuntu/workspace/arras.io/src/server/server.js:1390:19
      2    0.0%    0.0%  Function: ~initTriggerId async_hooks.js:330:23
      2    0.0%    0.0%  Function: ~goog.structs.Heap.remove /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/heap.js:115:46
      2    0.0%    0.0%  Function: ~goog.addDependency /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/base.js:614:30
      2    0.0%    0.0%  Function: ~getstuff /home/ubuntu/workspace/arras.io/src/server/server.js:3081:23
      2    0.0%    0.0%  Function: ~get realSize /home/ubuntu/workspace/arras.io/src/server/server.js:1806:14
      2    0.0%    0.0%  Function: ~frame /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Sender.js:54:16
      2    0.0%    0.0%  Function: ~findIndex native array.js:873:24
      2    0.0%    0.0%  Function: ~exports.dice.sides /home/ubuntu/workspace/arras.io/src/server/lib/random.js:54:16
      2    0.0%    0.0%  Function: ~entitiesToAvoid.some.e /home/ubuntu/workspace/arras.io/src/server/server.js:1335:30
      2    0.0%    0.0%  Function: ~entities.map.instance /home/ubuntu/workspace/arras.io/src/server/server.js:4485:24
      2    0.0%    0.0%  Function: ~data.map.d /home/ubuntu/workspace/arras.io/src/server/server.js:3433:26
      2    0.0%    0.0%  Function: ~chooseBiggestTriangle /home/ubuntu/workspace/arras.io/src/server/server.js:2405:40
      2    0.0%    0.0%  Function: ~buildList /home/ubuntu/workspace/arras.io/src/server/server.js:503:11
      2    0.0%    0.0%  Function: ~allocate buffer.js:275:18
      2    0.0%    0.0%  Function: ~_unrefTimer net.js:261:52
      2    0.0%    0.0%  Function: ~Writable.write _stream_writable.js:264:36
      2    0.0%    0.0%  Function: ~Socket._writeGeneric net.js:701:42
      2    0.0%    0.0%  Function: ~Readable.read _stream_readable.js:368:35
      2    0.0%    0.0%  Function: ~InnerArrayFindIndex native array.js:861:29
      2    0.0%    0.0%  Function: ~HSHG.update /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:92:34
      2    0.0%    0.0%  Function: ~HSHG.removeObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:78:40
      2    0.0%    0.0%  Function: ~Grid.toHash /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:194:34
      2    0.0%    0.0%  Function: ~Grid.initCells /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:160:37
      2    0.0%    0.0%  Function: ~<anonymous> /home/ubuntu/workspace/arras.io/src/server/server.js:249:24
      2    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      2    0.0%    0.0%  Builtin: InterpreterPushArgsThenConstructFunction
      2    0.0%    0.0%  Builtin: ForInFilter
      2    0.0%    0.0%  Builtin: ArraySome
      2    0.0%    0.0%  Builtin: ArrayPrototypeValues
      1    0.0%    0.0%  Stub: StoreFastElementStub {1}
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: RecordWriteStub {4}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub {1}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: NumberToStringStub
      1    0.0%    0.0%  Stub: GetPropertyStub
      1    0.0%    0.0%  Stub: CEntryStub
      1    0.0%    0.0%  StoreIC: A store IC from the snapshot {2}
      1    0.0%    0.0%  LazyCompile: *update /home/ubuntu/workspace/arras.io/src/server/server.js:3006:16
      1    0.0%    0.0%  LazyCompile: *set /home/ubuntu/workspace/arras.io/src/server/server.js:2256:10
      1    0.0%    0.0%  LazyCompile: *onread net.js:569:16
      1    0.0%    0.0%  LazyCompile: *normalizeStringPosix path.js:106:30
      1    0.0%    0.0%  LazyCompile: *my.guns.forEach.gun /home/ubuntu/workspace/arras.io/src/server/server.js:1390:19
